MSE chan 0,MSE chan 1,MSE chan 2,SSIM chan 0,SSIM chan 1,SSIM chan 2,IOUs chan 0,IOUs chan 1,IOUs chan 2
0.0011037368094548583,0.00046846873010508716,4.214668081203854e-08,0.23543290793895721,0.25076258182525635,0.26452502608299255,0.6896335482597351,0.9239543676376343,
0.0006431287620216608,0.00022025848738849163,1.7722371126183134e-07,0.31304219365119934,0.3242199718952179,0.34133121371269226,0.85881507396698,0.9324721097946167,
0.0008192496607080102,0.0002882473054341972,6.343973950606596e-07,0.44180166721343994,0.45332223176956177,0.4855574071407318,0.8963176012039185,0.9646669030189514,
0.0005295588634908199,0.0002482370182406157,8.141988132592815e-07,0.36956560611724854,0.37843379378318787,0.3980599641799927,0.8198305368423462,0.9684210419654846,
0.0004844600334763527,0.00018565382924862206,1.4841243682894856e-06,0.27382269501686096,0.28535690903663635,0.29673144221305847,0.8538627028465271,0.9512107968330383,
0.0004064879612997174,0.00030416599474847317,6.114742632234993e-07,0.21989431977272034,0.22741657495498657,0.24134111404418945,0.9377400279045105,0.9390909075737,
0.0011784108355641365,0.0004914823221042752,7.644860033906298e-08,0.3208261728286743,0.33811038732528687,0.3577895164489746,0.8177663683891296,0.9247738718986511,
0.0006708187866024673,0.0006069772643968463,2.774572180896939e-07,0.3054337501525879,0.3101550340652466,0.33870235085487366,0.8546156287193298,0.9548532962799072,
0.0012142506893724203,0.00023006778792478144,4.306288214905862e-09,0.3299363851547241,0.3522728979587555,0.36451488733291626,0.7074978351593018,0.8867279887199402,
0.0008553896332159638,0.00023152679204940796,8.269974927088697e-08,0.3995142877101898,0.4203471541404724,0.44287458062171936,0.8197337985038757,0.9179520010948181,
0.00038695731200277805,0.00015996608999557793,2.088452077941838e-07,0.19336090981960297,0.20025356113910675,0.21057240664958954,0.8600648641586304,0.9597069621086121,
0.0006749796448275447,0.00012759755190927535,2.181325953642954e-06,0.15750840306282043,0.1623954176902771,0.1688905954360962,0.8034277558326721,0.9063729643821716,
0.0005854136543348432,0.00012983033957425505,1.1867652460750833e-07,0.1598876565694809,0.17008532583713531,0.17892788350582123,0.7732919454574585,0.8635250926017761,
0.0004988827276974916,0.00014255387941375375,0.0,0.21777012944221497,0.2257826328277588,0.2356732040643692,0.8287093043327332,0.8904914259910583,
0.00079968455247581,0.0004389712121337652,9.597513184189665e-08,0.39957910776138306,0.40440645813941956,0.4354384243488312,0.9310378432273865,0.9676113128662109,
0.000878088700119406,0.000554868602193892,2.1854434635315556e-06,0.7333698272705078,0.7556636333465576,0.7905339002609253,0.8555935621261597,0.9634146094322205,
0.0010120966471731663,0.0004045658861286938,2.9962088774482254e-06,0.5127875804901123,0.538234531879425,0.5641152262687683,0.8416149020195007,0.9237071871757507,
0.0014995476230978966,0.0006520032766275108,5.495781465469918e-07,0.5029118657112122,0.5115579962730408,0.5415591597557068,0.7838249802589417,0.9538588523864746,
0.0011532226344570518,0.00047008375986479223,6.334435909138847e-08,0.4409951865673065,0.45889735221862793,0.4891929030418396,0.8897839784622192,0.95809006690979,
0.0005434206686913967,0.00021758934599347413,1.5276906424332992e-06,0.234052374958992,0.23456427454948425,0.25409799814224243,0.8792366981506348,0.8016281127929688,
0.00038148293970152736,0.00031842131284065545,1.9511619484546827e-06,0.2274533361196518,0.23346179723739624,0.24558791518211365,0.9157496690750122,0.8687782883644104,
