model,MSE chan 0,MSE chan 1,MSE chan 2,MAE chan 0,MAE chan 1,MAE chan 2,SSIM chan 0,SSIM chan 1,SSIM chan 2,IOUs chan 0,IOUs chan 1,IOUs chan 2,PCC chan 0,PCC chan 1,PCC chan 2,Euclidean chan 0,Euclidean chan 1,Euclidean chan 2,Cosine chan 0,Cosine chan 1,Cosine chan 2,Cell Area
auto_123,37.500118143485075,24.0262254272287,37.58230624897496,4.364596490229557,3.4548922584071864,4.276535811889977,0.8842842728685558,0.9409976903528549,0.945939291673634,0.9067888307778851,0.941308854935383,0.9546665541976006,0.9911008571126093,0.9972324780872611,0.9969257917638659,1047.8303352266382,848.8164287759918,1042.763929106456,0.0011945984812644006,0.0009488793017406524,0.001110666916243364,32333.463671941467
auto_124,33.973674990316624,23.289051235908754,38.47179907950816,4.134405778503872,3.310117046707683,4.275606764565728,0.8919803232629019,0.9439120790129599,0.9278583738985203,0.9121138921259205,0.9453274891533494,0.9413349808875001,0.9916137450453739,0.9972642937930888,0.9956069897181408,997.9397772230298,832.6592199076636,1065.9866214406234,0.00122362210958689,0.0009266560694707165,0.001852436274193686,32333.463671941467
auto_234,51.93395292886731,45.983982211050176,64.58047459371767,5.171541353665141,5.002813122944705,5.626833860659571,0.9065388837334492,0.9656190764585563,0.9279176968081541,0.9232115810656195,0.9421854973630432,0.9222285375468114,0.9937991116126824,0.9970070663734989,0.9930466475262819,1242.5980824990927,1137.115589551421,1374.9998279498186,0.0023088083900884753,0.001119764428855115,0.002994389817567379,32333.463671941467
ldm_45,1259.1184668080912,548.932530425044,176.73514613030983,25.090464452912617,15.07581567285579,9.414018276051353,0.628076855864668,0.709254280977637,0.8644846648773977,0.6097089591464929,0.7717106330753772,0.9009752860909237,0.8882268534810674,0.9321615064916956,0.9847892011045618,5481.408504115454,4035.0994878447295,2271.9450110110456,0.02116223916687765,0.023219926210818486,0.005562100013705598,32333.463671941467
ldm_35,833.0011215897996,466.51524782984035,190.8558820202295,20.510151511048385,14.004201551349427,9.537354306864742,0.6355175820516981,0.7176685625240676,0.8379446468082277,0.6518820032646852,0.7881121869109126,0.8686049237773799,0.8976180212989308,0.9408526594224624,0.9801663206267442,4674.907015426763,3732.875476400321,2365.440157786628,0.017688218835707637,0.019755205613974054,0.008435376621091806,32333.463671941467
ldm_15,693.4656700522432,401.7769415224006,540.3202217054018,17.103547678972276,14.10866855061823,15.622245985085977,0.6698104085586744,0.792884776999761,0.7529242190375344,0.7563744628704008,0.8578388681731927,0.7889204826983656,0.9170629442174235,0.9673295303512354,0.9476452188841112,4503.003800547121,3377.317104036475,3915.9097954810263,0.02796737035561804,0.011897180048770672,0.022352016984310885,32333.463671941467
